label;review
positive;reception average best fact ran extremely hot decided return well glad ended
negative;purchased simrad go7 sxe october 2017 added navionics platinum plus card complete
negative;bought trash cant believe wasted money netgear wirelessg cheaper wider range lasted
negative;great promise comes sogreat warrantynive headphones little year part great sound good
positive;must defect plugged luckily avoided electric shock power went management tried also
positive;year one day began smell like burning plastic became unresponsive technician left
negative;doesnt work like privacy screen shouldnnot allnnit makes nice retina display nice
positive;far righthand side screen became extremely hot looked exactly like someone put
negative;one ear stopped working like 2 months maybe 10 actual times usage
positive;odd went charge second batteries smelled burnt plastic charge light light rattle
negative;disappointed sound quality noise isolating utilized ipod touch cowon mp3 player galaxy
positive;authenthic products battery recognized camcordernnin addition caught fire explodednnnot recommended get authentic
positive;keep deal fried working smell something inside burned ive less 5 months
negative;fit correctly hard plastic small properly encase ipad choose products carefully good
positive;terms brightness saturation battery gets extremely hot failed 2 months battery drains
negative;mine doa think first doa product amazon know people give 1 star
positive;already torn smell electronic toxic gas making contact burn marks around mention
negative;idea whether good product instructions beyond terriblethey virtually nonexistant little makes sense
positive;750gb bare drive started smelling something electrical burning drive scorching hotnnproduct defective
negative;ac outlets work fine however usb ports almost never work course makes
positive;pretty decent gets hot quick burning smell 3 weeks later display lights
positive;vacation singapore charging ipad smelled horrible burning smell hotel room got use
negative;worked really well two weeks one speakers died terrible quality price good
positive;recharge aug battery blew like balloon like might explode battery packs dangerous
negative;cheap cheap dont mean good way cord doesnt work feels fragile wasnt
positive;great price turned garbage cable actually burned melted good side get quick
positive;put onnni tried everything except electric shock treatment believe hdsnnprosnit nice color
negative;purchased item frys electronics brand new hoping use htpc set unfortunately never
positive;converter 3 failed point 2 burned smelling like hot plastic third received
positive;cable sucks first saw got excited others reviews melted cables near fires
positive;stopped working last night sound smell burning electronics hopefully attached devices affected
negative;expectingi paid high price blast bass could boss better dont know regret
positive;charging 5 minutes later smell something burning guess waste time dont buy
positive;laptop always experienced following problemsnn1 extremely hot basenn2 constant loud fan noisenn3
negative;good price appear functional product second use glue lens cap came undone
negative;purchased smart thermostat wifi signal dining room slightly lower manufacture wantednni set
negative;pros comfortablencons worst sounding headphones ever ownednnfar worse headphones get packed mp3
negative;ive tablet 4 months good time screen started fail changing color strange
positive;use addition power converter gets extremely hot id call scary hot cant
negative;overall im pretty disappointed one received described outlet back turntable wont work
positive;hoffelds review right drivers gets extremely hot connected also dangerousnregretfully due work
negative;installed memory toshiba satellite computer froze video displayed horizontal lines remove install
positive;drive failed midway data transfer extremely hot touch come back life since
positive;installed today 3 minutes became extremely hotni could even touch itnthe display
positive;dead removed every part could smell burning circuit smell power supplynnafter threw
negative;writing reenforce message many heard perhaps neglected please consider another backupnnif youre
positive;batteries unit started smoke burning plastic smell came unitnim returning replacement would
negative;item less seven months old power switch stopped working toshiba stands behind
positive;new machine smoke fire ide cable melted hardware wth look like idiot
negative;works ok already lost one foam end stay buy replacements case lost
negative;useless device ever put pictures cant find wanted put back ipad cant
positive;transmitter got hot started smell like burning transmitter went dead longer worksnnnice
positive;one immediately usb box got extremely hot kept one throw away well
positive;usb drive waited 20 minutes smell burning plastic would trust boot itnnwith
positive;rms 36 hz cut well smell burning wires smoke started 15s froze
negative;ordered pioneer sound bar good reviews sound quality well may true get
positive;incredible waste moneynnalso modem smells like burning mixture burnt plastic body odor
positive;months got really hot smelled like something burning need replace defective unit
positive;start everything kit smelled like come burning tire factory smell would permeate
negative;one ear pieces quit working two months happened another pair bought son
positive;first time screen diplayed sec burning smell amazon dealing crap quality like
positive;minutes picked ear pieces one extremely hot touch guess battery failure read
positive;found speaker open circuit meter smelled burned insulation internal wiring meltednnthe authorized
negative;ordered screen protector generally positive reviews found application screen protector easier difficult
positive;hour running ill begin smell like chemicals burning unplug appliance plugged begin
negative;first installed board computer wouldnt boot rearranged pci boards got computer boot
positive;work went find issue smelled like burned plastic plugged spot could see
negative;received bluetooth device today completely charged made 3 calls using 3 people
positive;reason strong burning plastic odor brought reviewer mentioned smell real badnnupdated 11282011
positive;stopping using thisit smells terrible thats right smells burnt rubber would pleasant
positive;still workednnit one day got extremely hot stopped working search google apparently
negative;junk sound quality c second time went use cheap plastic folding piece
positive;touching never powered lingering chemicalburned plastic smell removed batteries tried second set
negative;buy item broke onetime use would rather spend money buy something last
positive;stars yesterdaynnhowever today started selling burning smell throughout living room discovered coming
negative;purchased nike sportwatch got home plugged followed necessary instructionsand watch shut instantly
positive;immediately became hot gave burning electrical smell dangerous made china radio went
positive;looked like exploded bent screen cracked turn either battery dead gone hard
negative;dont buy cannot sync kids lost original controller thought could order replacement
positive;hot shuts starts smelling like somethings cooking like burnt plastic cools turn
negative;worst range evernnradar went car right next cops car dark cop well
positive;hears bomb explodes nearby distant voices without warning battery low message prompted
positive;sparked popped smelled like fire know smelled like burnt unplugged computer matrix
negative;purchased hp mini 1104 netbook universal mania amazon upon receipt discovered netbook
positive;next ergonomic mouse spikes delivered electric shocks people use left handednni often
negative;purchased 2 cameras different times long story short problem camera goes focus
positive;cameras 2 power adapters became extremely hot spent extra 100 someone troubleshoot
negative;bought hifiman re400a time touch connector volume goes hold play button siri
positive;used one time started smell like burning unplugged flash immediately luckily flash
negative;simple install however provided terrible sound quality bad couldnt even try put
positive;usb cable top device gets extremely hot minutes youre much better using
negative;usb charging ports stopped functioning day 31 almost like knew amazon return
positive;came back inside room smelled like something burning went power strip smelled
negative;ipad doesnt fit properly case cute design love looks hard shell doesnt
positive;plug one controller sabrent starts burnt smell along smoke get warning drawing
positive;hot square part smells part attaches computer hot burn skin chargers overall
positive;connecting wifi camera started getting extremely hot shutdown thinking fluke attempted one
negative;hand grip back came apart within 3 months usage well made recommended
positive;butnncheap materialsnvery slownheat issues gets extremely hot gets sweating put lap literally
negative;well got case awesome 6 months took whole entire exterior laptop scratched
positive;unit instructions timing charging took smelled burning plastic hours fitbit thankfully still
positive;coming top burned little hole almost cameral could smell smoke hole orange
negative;small little black plastic clips hold wires onto headset clips broke first
negative;horrible productnnits complete garbage feels cheaper milk carton unbelievably uncomfortable used extended
positive;booom electrical shoch sound strong burning smelland deadnreally corsair really two weeksni
negative;thing going wheels truck personal satisfaction worth effort return ive fighting couple
positive;silver tip tendency overheat melt plastic casing melted three power cables dissatisfied
negative;ordering incorrect size finally ordered right onenthere giant scratch middle putting less
positive;onoff times nothing power supply extremely hot playing low volumes swapped 34v
positive;vac black decker screaming smells like burning contacted square trade told luck
negative;beware may 12 ga isnt copper copper clad wont deliver amount power
negative;dont bother thisnbought deal dont like themn1 tight ears ears ache 12
positive;even windows open like horrible smelling burning plastic electrical components issue last
negative;bad case doesnt securely fit tab easily pop break samsung 70 tab
negative;terrible fitting extra gift stocking filler christmas boyfriends fatherunfortunately loose annoying much
negative;hard time download pictures internal sd cardnthe software proposed playmemories recognize camera
positive;singapore indonesia third use could smell burning stop using smell burnt plastic
positive;began emit burning acrid odor extremely hot touch abandoned project near meltdown
negative;ordered first worked day cycled ordered replacement one two 35 cutouts available
negative;cheap perfromscheapnnthe worst thing choppy video never plays smooth always start stop
negative;unhappy level quality images wanted use camera wifes macro pictures using metabones
negative;owned tv 2 years recently black line showed runs side tv past
positive;bought 8 three burned first day use bad smell visibly damaged transformers
negative;bought gen5 along standard older model multisensor trying decide one get needed
positive;died got rock store could smell burnt odor unit worked pictures gps
negative;man oh man product sucks bought understand technology advancing rapid rate thought
negative;received device yesterday plugging car discovered maps installed proceeded log tomtom website
positive;y580 plugged laptop power seconds smelled burning smell laptop power supply made
positive;months apparent reason playing car battery exploded 60 year old woman abuse
positive;panasonicsnnbatteries worthlessnnthey hold charge get extremely hot worth buying cheap thisnnwaste money
negative;get 24mm 36mm negatives camera aps camera smaller filmnnbe aware negatives youll
positive;strong strange smell caused headache somehow smells like burning plastic considering return
positive;back finena month later smell something burned amplifier shut immediately started work
negative;bought cd player 10 year old daughter loved first sight however buttons
positive;device connected want note also extremely hot touch started researching different settings
negative;bluray player wasnt userfriendly beginning less month hooking using began connect internet
positive;suppliy failed first use slight smellof burnt electronics useless worst dangerous tried
negative;im thankful amazon great return policy sent back immediately play older demanding
positive;past 2 days gave 2 electric shocks followed brief power surge first
positive;appears oilygreasy power adapter gets extremely hot save anguish go buy bose
positive;id umedisc instead ricoh burn 4x secondthey smell like overpowering dye mix
negative;absolute trash junk purchase item regardless gentle break think tissues paper would
negative;npt04 4 channel wireless trigger work sb900 barely worked sb800 sent back
positive;see heat laptop would burn whatever cause smell go away still emits
positive;adapter began strange noises burnt plastic smell started come device completely friednnand
negative;information listed amazon strongly suggested keypad would work lenovo tablet keyboard crap
positive;came wires detached scorch marks burnt smellnrefund issued returned product inconvenience hurt
negative;hit miss whether youll get one works bought daughters 18th bday since
negative;dont get 5 star reviews product cloth terrible like first aid cloth
positive;ohms1000 feetnnwith cables used fluke ohmmeter produce heat melt etc dont want
negative;difficult keep ear buds ear regardless size use always difficult synch ipod
positive;recognized first stopped ejected noticed extremely hot let cool next day longer
positive;heard clicking noise smelt electrical burning smell saw smoke told send back
negative;replacement belkin transmitter 5 years ad stated attachments different ipods arrived without
positive;probably heated variety says smell meaning course burning plastic smell happens smell
negative;came huge att emblem plastered across back description say anything anything cover
positive;cow plugged cable ipad mini come plugged back melted screen also used
negative;complete pos piece brass wouldnt even make interesting toy kid add 3
positive;day charging macbook started smell wires burning turned wire adapter specifically attaches
negative;using phone approximately 3 months became corrupted im sure never happened previous
positive;turn remove battery second amod 3080 heat one explodednnthe amod 3080 longer
negative;staff working conference room tv located sprinkler accidently activated tv suffered water
positive;low battery options computer gets extremely hot know charging cant hold charge
negative;ordered product despite varied reviews saying poor thought ridiculous didnt need anything
positive;noticed weird smell didnt think much unplugged smoking sides burning hot touch
negative;case flops forward carrying shoulder closed something could fall threw used old
positive;24 months use stop working extremely hot touch definitely looks like design
negative;fit ipad air1 fit original ipad air could tried force willing keep
positive;even put disk computer however burning smell comes device use im reluctant
positive;charger works full battery guts probably 1216 batteries exploded yes otherwise left
negative;dvr quite bit programming watch remote major pain posterior use try pull
positive;noticed power cable looked fryed shorted something cable melted stuck together year
negative;doesnt even work ps2 tried saving ps1 game says might corrupt saving
negative;item worthless exactly two months purchasenit worked great began constantly shutting flashing
